snr_db,pe,ber,se,sinr_db,crlb_R,crlb_v,type
-15.0,0.05367469971027391,0.34694109662375683,0.03268690403479056,-13.555551735015312,5.96453046575288,104.01315683860352,sweep
-15.0,0.04483718427724716,0.3536673326562563,0.0190422228812747,-15.941454460385549,5.96453046575288,104.01315683860352,sweep
-15.0,0.03957216305937569,0.35035918494787116,0.02531494770755178,-14.686789187457192,5.96453046575288,104.01315683860352,sweep
-12.0,0.017527120030331717,0.3422372190238574,0.04427006653949031,-12.204698327619496,4.22256419906051,73.63567590437552,sweep
-12.0,0.04607269771869544,0.3426951350318675,0.04307082128559951,-12.327439760667096,4.22256419906051,73.63567590437552,sweep
-12.0,0.006420649879295436,0.34028513457103954,0.04955232714647821,-11.699859216932715,4.22256419906051,73.63567590437552,sweep
-12.0,0.03660053630611321,0.34267163994488753,0.04313198167341984,-12.321100164558567,4.22256419906051,73.63567590437552,sweep
-12.0,0.011563767139203625,0.3386688967575376,0.05413143736099947,-11.302726338566316,4.22256419906051,73.63567590437552,sweep
-12.0,0.041342751201717924,0.336990918494366,0.05907916750026339,-10.908516686119087,4.22256419906051,73.63567590437552,sweep
-12.0,0.023858419286146203,0.3374975262471813,0.05756477346655282,-11.025689765498115,4.22256419906051,73.63567590437552,sweep
-12.0,0.10241183374809143,0.34159042674365214,0.04598987415190024,-12.034198295480412,4.22256419906051,73.63567590437552,sweep
-12.0,0.022433106064988575,0.3394044427440608,0.05202461037409073,-11.481244280286537,4.22256419906051,73.63567590437552,sweep
-12.0,0.011281031476608545,0.3363375775307787,0.06105827886668436,-10.759665765730652,4.22256419906051,73.63567590437552,sweep
-12.0,0.01387442913193518,0.3337047395951085,0.06932753834976471,-10.18400592178438,4.22256419906051,73.63567590437552,sweep
-12.0,0.014521859251131253,0.33760034405575967,0.05725958872229047,-11.049661524478884,4.22256419906051,73.63567590437552,sweep
-12.0,0.07351783025520942,0.34388098951649815,0.04003634487194215,-12.653506318495836,4.22256419906051,73.63567590437552,sweep
-12.0,0.0014215299987285403,0.34460525314632984,0.038233906542464155,-12.85877579504193,4.22256419906051,73.63567590437552,sweep
-12.0,0.001930285118384991,0.3430708910008625,0.042098157831342804,-12.429455080403386,4.22256419906051,73.63567590437552,sweep
-12.0,0.06360534080900097,0.3378350214887904,0.05656576399021904,-11.104621266879494,4.22256419906051,73.63567590437552,sweep
-12.0,0.00934477868525091,0.34695793325011937,0.03264840878979462,-13.560780576415002,4.22256419906051,73.63567590437552,sweep
-12.0,0.031211218074070426,0.3404819627494218,0.04900732733550068,-11.74946901548767,4.22256419906051,73.63567590437552,sweep
-12.0,0.03709252942863416,0.34087235735206867,0.047934545494098146,-11.848701478108419,4.22256419906051,73.63567590437552,sweep
-12.0,0.027966644597111158,0.3425750553188115,0.043383824863377184,-12.295087007599763,4.22256419906051,73.63567590437552,sweep
-12.0,0.05895785491827296,0.3438344208357043,0.04015356252547898,-12.640470681922784,4.22256419906051,73.63567590437552,sweep
-12.0,0.023878518785265437,0.34458150207371113,0.0382923993940563,-12.851967629342585,4.22256419906051,73.63567590437552,sweep
-12.0,0.01898272472577981,0.3440100973033378,0.03971220414560957,-12.68974806020789,4.22256419906051,73.63567590437552,sweep
-12.0,0.060018288656448954,0.3390548093694713,0.05302131932014342,-11.395936803580593,4.22256419906051,73.63567590437552,sweep
-12.0,0.03301182136980282,0.34290284696740186,0.04253187429741217,-12.38368576204534,4.22256419906051,73.63567590437552,sweep
-12.0,0.0036098629550856427,0.3480459394134758,0.03020634352400467,-13.905468901604237,4.22256419906051,73.63567590437552,sweep
-12.0,0.08948007593724068,0.3403132722957232,0.049474247086452205,-11.706934122924215,4.22256419906051,73.63567590437552,sweep
-12.0,0.007820395138046918,0.3413399206269683,0.04666408185149534,-11.96904063056133,4.22256419906051,73.63567590437552,sweep
-12.0,0.05650662546488268,0.34405306750478104,0.039604594790295745,-12.701843444799152,4.22256419906051,73.63567590437552,sweep
-12.0,0.020943614922757325,0.3476340256266718,0.03112032527248937,-13.77337117464654,4.22256419906051,73.63567590437552,sweep
-12.0,0.06296629134406939,0.33724667768078165,0.05831241504550591,-10.967476703661827,4.22256419906051,73.63567590437552,sweep
-12.0,0.09985054307052725,0.3452473176843722,0.036668535057324224,-13.044851767536969,4.22256419906051,73.63567590437552,sweep
-12.0,0.0527365035768131,0.346434588375186,0.03385498605897206,-13.399689869904897,4.22256419906051,73.63567590437552,sweep
-12.0,0.032949748839991626,0.3379919556639027,0.05610392264463754,-11.141566057052337,4.22256419906051,73.63567590437552,sweep
-12.0,0.008808909497030256,0.33595600996130615,0.062227650137252205,-10.673879331907429,4.22256419906051,73.63567590437552,sweep
-12.0,0.009200713404237813,0.34129636225606397,0.046781775259239655,-11.95776000980381,4.22256419906051,73.63567590437552,sweep
-12.0,0.02755026950387513,0.3421403355207151,0.04452574913049051,-12.1789475336755,4.22256419906051,73.63567590437552,sweep
-12.0,0.012017821973104208,0.3441964742351878,0.039246450423533974,-12.74233103866253,4.22256419906051,73.63567590437552,sweep
-12.0,0.030620013961595992,0.34280947049494703,0.04277376741573857,-12.358355937919983,4.22256419906051,73.63567590437552,sweep
-12.0,0.06579655307863808,0.3459323065215242,0.03503238774499955,-13.247817734535356,4.22256419906051,73.63567590437552,sweep
